firstname,token,informacio_general_act,organs_de_govern_act,organismes_depenents_act,organismes_amb_representacio_act,canals_participacio_act,estructura_administrativa_act,serveis_publics_act,informacio_economica_act,contractacio_act,planificacio_act,grups_interes_act
Calldetenes,08037AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Callús,08038AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Campins,08039AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Cànoves i Samalús,08042AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cardona,08047AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,3 Nivell alt,0 No actualitzat
Carme,08048AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Casserres,08049AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Castellbell i el Vilar,08053AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Castellcir,08055AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Castellet i la Gornal,08058AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Castellgalí,08061AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Castellnou de Bages,08062AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Castellolí,08063AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castellterçol,08064AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,1 Actualitzat
Castellví de la Marca,08065AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Castellví de Rosanes,08066AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Collbató,08069AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,0 No actualitzat,0 No actualitzat
Fogars de la Selva,08082AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Folgueroles,08083AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Fonollosa,08084AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Font-rubí,08085AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Gironella,08092AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Granada (La),08094AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Gualba,08097AA000,1 Nivell mig,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Salvador de Guardiola,08098AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Guardiola de Berguedà,08099AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Gurb,08100AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Jorba,08103AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Llacuna (La),08104AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Martorelles,08115AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,3 Nivell alt,0 No actualitzat
Masies de Roda (Les),08116AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Masies de Voltregà (Les),08117AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Mediona,08122AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Monistrol de Montserrat,08127AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Monistrol de Calders,08128AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Muntanyola,08129AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Montesquiu,08131AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Figaró-Montmany,08134AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Òdena,08143AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Olvan,08144AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Olèrdola,08145AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Olesa de Bonesvalls,08146AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Olivella,08148AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Olost,08149AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Oristà,08151AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Òrrius,08153AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Pacs del Penedès,08154AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Papiol (El),08158AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Hostalets de Pierola (Els),08162AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Pla del Penedès (El),08164AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Pobla de Claramunt (La),08165AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat
Pobla de Lillet (La),08166AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Pontons,08168AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Prats de Rei (Els),08170AA000,2 Nivell alt,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Prats de Lluçanès,08171AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,0 No actualitzat,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Puigdàlber,08174AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Puig-reig,08175AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat
Rajadell,08178AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Rellinars,08179AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Pont de Vilomara i Rocafort (El),08182AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Iscle de Vallalta,08193AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Bartomeu del Grau,08199AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Boi de Lluçanès,08201AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Cebrià de Vallalta,08203AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Actualitzat
Sant Climent de Llobregat,08204AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Cugat Sesgarrigues,08206AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Esteve de Palautordera,08207AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Feliu Sasserra,08212AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Hipòlit de Voltregà,08215AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Julià de Vilatorta,08220AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Llorenç d'Hortons,08222AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Llorenç Savall,08223AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,3 Nivell alt,0 No actualitzat
Sant Martí de Centelles,08224AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Martí de Tous,08226AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Martí Sarroca,08227AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Mateu de Bages,08229AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Pere de Riudebitlles,08232AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Pere de Torelló,08233AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Pere de Vilamajor,08234AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Sant Quintí de Mediona,08236AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Quirze de Besora,08237AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Quirze Safaja,08239AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Santa Eugènia de Berga,08246AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Eulàlia de Riuprimer,08247AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,2 Nivell mig,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Esquirol (l´),08254AA000,1 Nivell mig,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Maria de Martorelles,08256AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Maria d'Oló,08258AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Santa Susanna,08261AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Vicenç de Torelló,08265AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cercs,08268AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Seva,08269AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Subirats,08273AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Torre de Claramunt (La),08286AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,1 Actualitzat
Torrelavit,08287AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Torrelles de Foix,08288AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Ullastrell,08290AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Vallbona d'Anoia,08292AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Vallgorguina,08294AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Vallromanes,08296AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat
Vilobí del Penedès,08304AA000,1 Nivell mig,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Vilalba Sasserra,08306AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Palma de Cervelló (La),08905AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Aguilar de Segarra,08002AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Alpens,08004AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Argençola,08008AA000,0 No actualitzat,0 No actualitzat,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Bellprat,08021AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Borredà,08024AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Brull (El),08026AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Calonge de Segarra,08036AA000,1 Nivell mig,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Capolat,08045AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castellar del Riu,08050AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castellar de n'Hug,08052AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castell de l'Areny,08057AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castellfollit del Boix,08059AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Castellfollit de Riubregós,08060AA000,2 Nivell alt,0 No actualitzat,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Collsuspina,08070AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat
Copons,08071AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,1 Nivell baix,0 No actualitzat
Espunyola (L'),08078AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Estany (L'),08079AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,1 Actualitzat
Fígols,08080AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Fogars de Montclús,08081AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Gallifa,08087AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Gaià,08090AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Gisclareny,08093AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Granera,08095AA000,0 No actualitzat,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Lluçà,08109AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Malla,08111AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Montclar,08130AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Montmajor,08132AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Montmaneu,08133AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
